Food Name,Description,Category
Broccoli,rich in vitamins,Good
Apples,"They contain potassium, which stimulates the immune system, and pepsin, which helps the stomach",Good
Brewers yeast,health aid and can help remedy some skin conditions,Good
Carrots,"rich in vitamins, great treats to substitute for biscuits",Good
Cabbage,"rich in vitamins, good for digestive system and skin",Good
Cucumber,"good for teeth and bones due to potassium content; can combine with carrots to promote a healthy liver and kidneys; in juice form, a good diuretic ... peel cucumbers unless organically grown",Good
Celery,chopped or juiced; can help with arthritis,Good
Flaxseed oil,beneficial and essential fatty acids,Good
 fish oil,beneficial and essential fatty acids,Good
omega 3 and 6 supplements,beneficial and essential fatty acids,Good
Olive oil,A tablespoon a day is good for skin and fur,Good
Sesame Oil,"a tablespoon a day is good for skin and fur.As mentioned, sesame is high in calcium. A recent study suggests sesame may be useful for support in osteopenia and osteoporosis. The study found that sesamin, a component of sesame, may have the ability to stimulate bone synthesis (5). In addition, sesame may provide some relief for those suffering from osteoarthritis. A human clinical trial found a significant difference in clinical signs and symptoms in those who ate 40 grams of sesame seeds daily during the two month study period (6), so maybe it’s not a bad idea to feed your aging four-legged baby some sesame.(https://www.zukes.com/fuel-the-love/dog-blog/sesame-nutrition-for-dogs)",Good
Peanut butter,"Giving your dog the occasional tablespoon of unsalted peanut butter is a treat you can both enjoy. It's a great source of protein and healthy fats for dogs, and it's a perfect photo opportunity for you.",Good
Yogurt,"High in protein and calcium, plain yogurt is an ideal treat for dogs, especially if your pooch suffers from digestion problems. Make sure you opt for yogurts that don't contain added sugar or artificial sweeteners.",Good
Oatmeal,"Oatmeal is a good source of fiber, making it great for dogs with bowel irregularity issues, and it's also safe for dogs with wheat allergies. Before serving it to your pet, cook the oatmeal and don't add any sugar.",Good
Chicken,"If your dog requires extra protein in his diet, cooked, unseasoned chicken is an easy addition to his regular food. It also makes a good meal replacement if you're out of dog food",Good
Salmon,"Dogs can benefit from omega 3 fatty acids too, so slip some cooked salmon into the food bowl for a healthier, shinier coat.",Good
Broccoli,"This vitamin-rich vegetable can be a great occasional nutrition boost for dogs. However, it shouldn't make up more than 10 percent of a dog's diet as it could cause gastrointestinal irritation.",Good
Pumpkin,You can serve your dog pumpkin — raw or in a can — as a source of fiber or vitamin A. It's also a helpful addition to doggie diets if your pooch is experiencing digestion problems.,Good
Green beans,"Nutritious and low in calories, green beans are a good choice that will load dogs up with iron and vitamins. Make sure to feed your dog only fresh beans or canned ones with no added salt.",Good
Cottage cheese,"This bland food is high in calcium and protein, so it can be a good addition to dog food. However, avoid it if your dog has issues digesting dairy.",Good
Carrots,"This vegetable is low in calories and high in fiber and vitamins. Plus, crunching on carrots can be good for dogs' teeth.",Good
Eggs,"If your pooch needs a protein boost, scramble an egg for a healthy snack.",Good
Lean Meats,Most dogs are fine eating lean cuts of meat that have been thoroughly cooked. Be sure to remove all visible fat -- including the skin on poultry. Also be sure there are no bones in the meat before you give it to your dog.,Good
oranges,"make tasty treats for your dog. Be sure to remove any seeds, stems, and leaves first, because they can cause serious problems.",Good
bananas,"make tasty treats for your dog. Be sure to remove any seeds, stems, and leaves first, because they can cause serious problems.",Good
watermelon,"make tasty treats for your dog. Be sure to remove any seeds, stems, and leaves first, because they can cause serious problems.",Good
cucumber slices,,Good
zucchini slices,,Good
baked potato,But don't let your dog eat any raw potatoes or any potato plants it might have access to in your garden.,Good
Cooked White Rice and Pasta,Dogs may enjoy plain white rice or pasta after it's cooked. A serving of plain white rice with some boiled chicken can also provide welcome relief from gastrointestinal upset.,Good
asparagus,,Good
"cauliflower, and hard winter squash.",,Good
Chocolate,"You've likely heard that you're never supposed to feed a dog chocolate, and there's a reason for that. That delicious candy contains caffeine-like stimulants known as methylxanthines. If ingested in large amounts, chocolate can cause vomiting, diarrhea, irregular heartbeat, seizures and even death.",Bad
Grapes and raisins,"While this fruit is nutritious for you, it's toxic to dogs and can cause kidney failure.",Bad
Onions,"They may make you cry, but they can make your dog very sick by causing damage to his red blood cells.",Bad
Avocado,"Avocado leaves, fruit, seeds and bark contain a toxin called persin that can cause upset stomach and breathing difficulties.",Bad
Alcohol,"Even drinking a small amount of alcohol can result in significant intoxication for a dog, which can lead to vomiting, seizures and even death",Bad
Bread Dough,"Raw bread dough made with live yeast can be hazardous if ingested by dogs. When raw dough is swallowed, the warm, moist environment of the stomach provides an ideal environment for the yeast to multiply, resulting in an expanding mass of dough in the stomach. Expansion of the stomach may be severe enough to decrease blood flow to the stomach wall, resulting in the death of tissue. Additionally, the expanding stomach may press on the diaphragm, resulting in breathing difficulty. Perhaps more importantly, as the yeast multiplies, it produces alcohols that can be absorbed, resulting in alcohol intoxication. Affected dogs may have distended abdomens and show signs such as a lack of coordination, disorientation, stupor and vomiting (or attempts to vomit). In extreme cases, coma or seizures may occur and could lead to death from alcohol intoxication. Dogs showing mild signs should be closely monitored, and dogs with severe abdominal distention or dogs who are so inebriated that they can’t stand up should be monitored by a veterinarian until they recover.",Bad
Hops,"Cultivated hops used for brewing beer have been associated with potentially life-threatening signs in dogs who have ingested them. Both fresh and spent (cooked) hops have been implicated in poisoning dogs. Affected dogs develop an uncontrollably high body temperature (often greater than 108 degrees Fahrenheit), which results in damage to and failure of multiple organ systems. Dogs poisoned by hops become restless, pant excessively, and may have muscle tremors and seizures. Prompt veterinary intervention is necessary to prevent death in these dogs.",Bad
Macadamia Nuts,"Although macadamia nut toxicosis is unlikely to be fatal in dogs, it can cause very uncomfortable symptoms that may persist for up to 48 hours. Affected dogs develop weakness in their rear legs, appear to be in pain, may have tremors and may develop a low grade fever. Fortunately, these signs will gradually subside over 48 hours, but dogs experiencing more than mild symptoms can benefit from veterinary care, which may include intravenous fluid therapy and pain control. Moldy Foods",Bad
Moldy Foods,"A wide variety of molds grow on food. Some produce toxins called tremorgenic mycotoxins, which can cause serious or even life-threatening problems if ingested by dogs. Unfortunately, it’s not possible to determine whether a particular mold is producing tremorgenic mycotoxins, so the safest rule of thumb is to avoid feeding dogs moldy food. In other words, if you wouldn’t eat it, neither should your dog. Promptly remove any trash or moldy debris (road-kill, fallen walnuts or fruit, etc.) from your dog’s environment to prevent him from eating it. The signs of tremorgenic mycotoxin poisoning generally begin as fine muscle tremors that progress to very coarse total-body tremors and, finally, convulsions that can lead to death in severe cases. Left untreated, these tremors can last for several weeks. Fortunately, they usually respond well to appropriate veterinary treatment.",Bad
Xylitol,"is a non-caloric sweetener that is widely used in sugar-free gum, as well as in sugar-free baked products. In humans, xylitol does not affect blood sugar levels, but in dogs, ingestion of xylitol can lead to a rapid and severe drop in blood sugar levels. Dogs may develop disorientation and seizures within 30 minutes of ingesting xylitol-containing products, or signs may be delayed for several hours. Some dogs who ingest large amounts of xylitol develop liver failure, which can be fatal. All dogs ingesting xylitol-containing products should be examined by a veterinarian immediately.",Bad
"Coffe, Tea and Other Caffeen:","Caffeine in large enough quantities can be fatal. And there is no antidote. Symptoms of caffeine poisoning include restlessness, rapid breathing, heart palpitations, muscle tremors, fits, and bleeding. In addition to tea and coffee -- including beans and grounds -- caffeine can be found in cocoa, chocolate, colas, and stimulant drinks such as Red Bull. It's also in some cold medicines and pain killers.",Bad
Milk-Based products,"Milk and milk-based products can cause diarrhea and other digestive upset, as well as set up food allergies (which often show up as itchiness).",Bad
Macadamia Nuts,"Dogs shouldn't eat macadamia nuts or foods with them because they can be fatal. As few as six raw or roasted macadamias can make them ill. Symptoms of poisoning include muscle tremors, weakness or paralysis of the hindquarters, vomiting, elevated body temperature, and rapid heart rate. Eating chocolate with the nuts will make symptoms worse, possibly leading to death.",Bad
Candy and Gum,"Candy, gum, toothpaste, baked goods, and some diet foods are sweetened with xylitol. It can cause more insulin to circulate through your dog's body. That can cause his blood sugar to drop and can also cause liver failure. Initial symptoms include vomiting, lethargy, and loss of coordination. Eventually, he may have seizures. Liver failure can occur within just a few days.",Bad
Fat Trimmings and Bones,"Table scraps often contain meat fat that a human didn't eat as well as bones. Both are dangerous for dogs. Fat trimmed from meat, both cooked and uncooked, can cause pancreatitis. And, although it seems natural to give a dog a bone, he can choke on it. Bones can also splinter and cause an obstruction or lacerations of your dog's digestive system. It's best to just forget about the doggie bag.",Bad
"Persimmons, Peaches, and Plums","The problem with these fruits is the seeds or pits. The seeds from persimmons can cause inflammation of the small intestine in dogs. They can also cause intestinal obstruction. Obstruction is also a possibility if a dog eats the pit from a peach or plum. Plus, peach and plum pits contain cyanide, which is poisonous to both humans and dogs. The difference is humans know not to eat them. Dogs don't.",Bad
Raw Eggs,There are two problems with giving your dog raw eggs. The first is the possibility of food poisoning from bacteria like Salmonella or E. coli. The second is that an enzyme in raw eggs interferes with the absorption of a particular B vitamin. This can cause skin problems as well as problems with your dog's coat if she's been eating them for a long time.,Bad
Raw Meat and Fish,"Raw meat and raw fish, like raw eggs, can contain bacteria that causes food poisoning. In addition, certain kinds of fish such as salmon, trout, shad, or sturgeon can contain a parasite that causes ""fish disease"" or ""salmon poisoning disease."" If not treated, the disease can be fatal within 2 weeks. The first signs of illness are vomiting, fever, and big lymph nodes. Thoroughly cooking the fish will kill the parasite and protect your dog.",Bad
baking powder,highly toxic,Bad
baking soda,highly toxic,Bad
